n_evals,igd_all
7,0.3048048403476347
14,0.3048048403476347
21,0.30397824980083277
28,0.30397824980083277
35,0.3021772421254236
42,0.3021772421254236
49,0.2837411841733265
56,0.2380126190028144
63,0.2221689688538926
70,0.21965757749733103
78,0.21965757749733103
87,0.2196574654966785
96,0.21877371234657542
105,0.2186858924248376
114,0.21868476131269146
125,0.21868476131269146
141,0.20545380772908206
157,0.20518692323233814
173,0.20511123628265182
189,0.20511119023374283
205,0.20511119023374283
232,0.20492590490703178
259,0.20434658291796584
286,0.20434658291796584
313,0.20431827456751037
332,0.20431827456751037
367,0.2059256076177014
402,0.20591938835467918
437,0.20591938835467918
472,0.19701682722178734
493,0.19701682722178734
519,0.19698895661557056
545,0.1989383322536227
571,0.20238960945262618
597,0.20039886526132222
616,0.20039886526132222
640,0.20039886526132222
664,0.18672359598083724
688,0.1847555492385564
712,0.18480213506965915
724,0.18480213506965915
740,0.1848021350032556
756,0.1848021350032556
772,0.1848021350032556
788,0.18466194492750138
804,0.18466194492750138
833,0.1846619827668467
862,0.18467579608423296
891,0.18467579608423296
920,0.18467575617978177
934,0.18467575617978177
963,0.18166238440420984
992,0.1816623600786554
1021,0.18129230386865897
1050,0.16517402325891176
1063,0.16517402325891176
1087,0.16599707943307418
1111,0.16599707943307418
1135,0.16585316661690688
1159,0.16585316661690688
